iter	RMSE
0	823.6127872
1	798.0664283
2	775.4602883
3	754.0183041
4	734.407222
5	714.4760916
6	697.1828989
7	683.9043056
8	667.979114
9	655.3985583
10	641.9940467
11	629.5298702
12	618.0905264
13	608.4805434
14	600.8922508
15	592.2958782
16	584.3546576
17	576.9278761
18	570.1097279
19	563.4401127
20	557.8672821
21	552.4282335
22	547.2026576
23	542.3508376
24	537.8319675
25	533.7570865
26	529.7241932
27	525.9322415
28	522.1097755
29	518.7233097
30	515.2886751
31	512.2873951
32	509.0720244
33	506.6839671
34	503.868733
35	501.2844286
36	498.5487566
37	495.8277423
38	493.5921837
39	491.3718149
40	489.0400729
41	486.6148882
42	484.2103976
43	482.2551327
44	480.2528431
45	478.1187678
46	476.3423401
47	474.7028831
48	472.6794002
49	470.7218372
50	468.8478201
51	467.1935864
52	465.5624198
53	463.5591236
54	461.9098009
55	460.1326505
56	458.4057707
57	456.6440528
58	455.0015468
59	453.3717694
60	451.8897085
61	450.4008149
62	448.9379559
63	447.4699987
64	445.979128
65	444.6192442
66	443.2032623
67	441.8723003
68	440.4564515
69	439.3344297
70	438.0983987
71	437.0351731
72	435.7195056
73	434.500298
74	433.3954967
75	432.1232453
76	430.8312445
77	429.7317807
78	428.7974553
79	427.7420192
80	426.5779767
81	425.5249278
82	424.719241
83	423.8076235
84	422.6121592
85	421.7118299
86	420.7070512
87	419.8985691
88	418.9675091
89	418.0351098
90	417.107319
91	416.1703683
92	415.2461633
93	414.4389523
94	413.9793519
95	412.9750653
96	412.0309142
97	410.9734778
98	410.1302562
99	409.2692859
100	408.3595879
101	407.4499149
102	406.6401037
103	405.8899837
104	405.0613785
105	404.2576435
106	403.5379696
107	402.592084
108	401.9383937
109	401.0982612
110	400.2154215
111	399.6040847
112	398.814404
113	398.0393263
114	397.2810088
115	396.4223078
116	395.6395516
117	394.9374871
118	394.1727091
119	393.4268864
120	392.5809881
121	391.7463993
122	390.9220824
123	390.2064968
124	389.6905877
125	389.1604571
126	388.4648643
127	387.9570613
128	387.2383213
129	386.5700652
130	385.983794
131	385.2856208
132	384.4860819
133	383.8112816
134	383.1415901
135	382.553536
136	381.8128282
137	381.2270359
138	380.454966
139	379.6890367
140	378.9554684
141	378.3418709
142	377.6267393
143	377.0552021
144	376.4219549
145	375.7696141
146	375.0815715
147	374.4166705
148	373.7299217
149	373.1930413
150	372.570215
151	371.883338
152	371.2735155
153	370.631609
154	369.9967415
155	369.3493661
156	368.7906452
157	368.1516087
158	367.5540344
159	366.8395963
160	366.2280179
161	365.5857704
162	364.9764556
163	364.3698938
164	363.7211391
165	363.1935779
166	362.6754603
167	362.1431095
168	361.6293195
169	361.021301
170	360.4417868
171	359.8471922
172	359.2558723
173	358.6763259
174	358.1081697
175	357.5143977
176	356.9534776
177	356.3836903
178	355.8032017
179	355.3384389
180	354.751805
181	354.1849905
182	353.6368317
183	353.2285782
184	352.6846267
185	352.1568686
186	351.6109079
187	351.1881912
188	350.6741086
189	350.1616981
190	349.6441999
191	349.1373181
192	348.6106333
193	348.0847098
194	347.7170475
195	347.1997716
196	346.6636897
197	346.2042959
198	345.7117865
199	345.3197982
200	344.8160081
201	344.3065018
202	343.8184214
203	343.3305493
204	342.8735338
205	342.371083
206	341.9133534
207	341.4292457
208	340.9806543
209	340.4796763
210	340.054764
211	339.6712619
212	339.1751521
213	338.7215712
214	338.4245549
215	337.944141
216	337.6027854
217	337.1654996
218	336.6951382
219	336.2085759
220	335.7389283
221	335.2811832
222	334.8001719
223	334.3374047
224	333.8754737
225	333.5337428
226	333.1082491
227	332.6625492
228	332.1969668
229	331.7461168
230	331.3035964
231	330.8747966
232	330.3324073
233	329.8977585
234	329.4697726
235	329.0558672
236	328.559267
237	328.165034
238	327.6293864
239	327.308468
240	326.899933
241	326.4882739
242	326.0536214
243	325.6107085
244	325.2130109
245	324.7820068
246	324.3612141
247	323.9426188
248	323.6264487
249	323.2258408
250	322.8348073
251	322.4055907
252	322.0202339
253	321.6469888
254	321.3493278
255	320.8711197
256	320.4579552
257	320.0739495
258	319.6785418
259	319.2745701
260	318.8824141
261	318.5059037
262	318.1070558
263	317.714969
264	317.3749159
265	317.0131678
266	316.6432335
267	316.2552829
268	315.9175012
269	315.62529
270	315.2350547
271	314.7356153
272	314.3366654
273	314.0174269
274	313.6372149
275	313.2680259
276	312.9315736
277	312.5718392
278	312.143203
279	311.7713385
280	311.4086622
281	311.0783239
282	310.7256769
283	310.4482659
284	310.0723899
285	309.7194488
286	309.4019232
287	309.0215077
288	308.6740219
289	308.3006516
290	307.9385372
291	307.5908885
292	307.2918611
293	306.9416762
294	306.5910576
295	306.1309347
296	305.7803
297	305.4273319
298	305.0795635
299	304.7287932
300	304.3788512
301	304.1218773
302	303.8190088
303	303.477286
304	303.1506509
305	302.8161997
306	302.4816915
307	302.1507201
308	301.8111495
309	301.4830824
310	301.1558108
311	300.8106899
312	300.5064248
313	300.1814254
314	299.796597
315	299.4851466
316	299.202003
317	298.835118
318	298.511645
319	298.2859523
320	297.9502985
321	297.6120945
322	297.2702984
323	296.9593144
324	296.5483271
325	296.2167059
326	295.8536866
327	295.5400843
328	295.2156412
329	294.9790112
330	294.6655195
331	294.345506
332	294.058087
333	293.7381107
334	293.4246313
335	293.1173225
336	292.8125602
337	292.5285311
338	292.2145361
339	291.8992575
340	291.5849422
341	291.2811349
342	291.0592348
343	290.7473161
344	290.4558835
345	290.1708628
346	289.8721362
347	289.577607
348	289.2705022
349	288.9647587
350	288.6832949
351	288.3954622
352	288.0938819
353	287.7910694
354	287.4846209
355	287.2127603
356	286.9266676
357	286.6489674
358	286.3594401
359	286.0850329
360	285.7989791
361	285.5596741
362	285.298893
363	285.02142
364	284.7290248
365	284.4095289
366	284.1345018
367	283.8563525
368	283.5653022
369	283.3051325
370	283.0222401
371	282.6868371
372	282.3911766
373	282.1864568
374	281.8935255
375	281.6236305
376	281.335574
377	281.0285764
378	280.7528001
379	280.4647667
380	280.1511152
381	279.8811774
382	279.624044
383	279.3565651
384	279.1038507
385	278.8457872
386	278.5755149
387	278.2987176
388	278.0208557
389	277.7834529
390	277.5009875
391	277.2817651
392	277.0202663
393	276.7437387
394	276.4772984
395	276.2123375
396	275.9095815
397	275.6436769
398	275.3238574
399	275.0610706
400	274.8231998
401	274.5789381
402	274.3122643
403	274.1183223
404	273.8549891
405	273.5998781
406	273.3530534
407	273.0397266
408	272.8012243
409	272.5457478
410	272.283992
411	271.9907444
412	271.7238849
413	271.4604205
414	271.2134825
415	270.9573575
416	270.7010214
417	270.4640684
418	270.2279007
419	269.9886075
420	269.7225495
421	269.4823427
422	269.2980087
423	269.0558423
424	268.8118636
425	268.6005086
426	268.2778177
427	268.0209372
428	267.7696742
429	267.4574359
430	267.2157463
431	266.9841561
432	266.7375108
433	266.4931892
434	266.2480637
435	266.0195596
436	265.7720185
437	265.5341817
438	265.2874166
439	265.0607624
440	264.8222713
441	264.6071573
442	264.384886
443	264.1592052
444	263.9291061
445	263.7091632
446	263.5406748
447	263.3215364
448	263.0724465
449	262.840226
450	262.5270785
451	262.2989573
452	262.0641381
453	261.887076
454	261.6535423
455	261.4390228
456	261.2142368
457	260.9817143
458	260.7705317
459	260.5331264
460	260.3139603
461	260.1043268
462	259.8808107
463	259.6475072
464	259.4354801
465	259.2150768
466	259.0025719
467	258.7914514
468	258.590408
469	258.3668609
470	258.0985205
471	257.8813936
472	257.6692155
473	257.3801038
474	257.157403
475	256.9360456
476	256.7803461
477	256.5624265
478	256.3393517
479	256.025401
480	255.8088477
481	255.5767117
482	255.3506483
483	255.1255887
484	254.9102146
485	254.6906234
486	254.4344253
487	254.2084769
488	254.0382609
489	253.8153488
490	253.5576091
491	253.3394816
492	253.0808408
493	252.8636311
494	252.6408776
495	252.3965839
496	252.2140537
497	251.9991999
498	251.7882031
499	251.5862094
500	251.3782633
501	251.1675031
502	250.952286
503	250.74126
504	250.5477271
505	250.3501734
506	250.1712519
507	249.9589
508	249.7801209
509	249.6294691
510	249.4096797
511	249.224316
512	249.0071181
513	248.8011591
514	248.5828486
515	248.3824031
516	248.1922274
517	247.9836597
518	247.8021542
519	247.5836983
520	247.3847428
521	247.1967422
522	246.9897681
523	246.7876639
524	246.5770666
525	246.3686074
526	246.1812824
527	246.0340752
528	245.8335715
529	245.6373753
530	245.4434625
531	245.2458665
532	245.0494658
533	244.7703681
534	244.5110221
535	244.3065688
536	244.1085689
537	243.874924
