iter	Passed	Remaining
0	3	3089
1	5	2570
2	6	2304
3	9	2273
4	11	2279
5	13	2279
6	16	2278
7	18	2275
8	20	2255
9	22	2242
10	24	2237
11	27	2230
12	29	2221
13	31	2217
14	33	2183
15	35	2182
16	37	2185
17	40	2183
18	42	2186
19	44	2182
20	46	2181
21	48	2172
22	51	2167
23	53	2161
24	55	2153
25	57	2154
26	59	2148
27	61	2143
28	63	2135
29	65	2131
30	68	2127
31	70	2130
32	72	2125
33	74	2120
34	76	2117
35	78	2111
36	81	2108
37	83	2106
38	85	2103
39	87	2104
40	89	2104
41	92	2101
42	94	2102
43	96	2101
44	98	2095
45	100	2090
46	103	2091
47	105	2089
48	107	2085
49	109	2081
50	111	2076
51	113	2071
52	115	2067
53	117	2066
54	120	2063
55	122	2059
56	124	2057
57	126	2053
58	128	2052
59	130	2049
60	132	2047
61	135	2043
62	137	2041
63	139	2037
64	141	2033
65	143	2030
66	145	2026
67	147	2021
68	149	2017
69	151	2016
70	153	2012
71	155	2009
72	158	2006
73	160	2004
74	162	2002
75	164	2000
76	166	1997
77	168	1994
78	170	1992
79	173	1989
80	175	1986
81	177	1982
82	179	1980
83	181	1978
84	183	1975
85	185	1972
86	187	1969
87	189	1966
88	191	1964
89	194	1963
90	196	1960
91	198	1956
92	200	1955
93	202	1952
94	204	1951
95	207	1949
96	209	1947
97	211	1946
98	213	1943
99	215	1942
100	217	1940
101	220	1938
102	222	1935
103	224	1933
104	226	1930
105	228	1927
106	230	1925
107	232	1923
108	235	1921
109	237	1920
110	239	1918
111	241	1916
112	243	1913
113	245	1911
114	248	1909
115	250	1906
116	252	1904
117	254	1901
118	256	1899
119	258	1897
120	260	1894
121	263	1892
122	265	1891
123	267	1888
124	269	1885
125	271	1884
126	273	1882
127	276	1880
128	278	1878
129	280	1876
130	282	1874
131	284	1872
132	286	1869
133	288	1866
134	291	1864
135	293	1861
136	295	1859
137	297	1856
138	299	1853
139	301	1850
140	303	1848
141	305	1846
142	307	1843
143	309	1840
144	311	1838
145	313	1835
146	315	1833
147	317	1830
148	319	1826
149	321	1824
150	324	1822
151	326	1819
152	328	1816
153	330	1813
154	332	1811
155	334	1808
156	336	1807
157	338	1805
158	341	1803
159	343	1801
160	345	1798
161	347	1796
162	349	1794
163	351	1792
164	353	1790
165	355	1787
166	357	1784
167	359	1782
168	362	1780
169	364	1778
170	366	1776
171	368	1774
